id,transcript,intent,amount,recipient,service,ussd_sequence,is_synthetic
syn_0848,Check balance ya Safaricom,CHECK_BALANCE,,,Safaricom,*334# -> 6 -> 1,True
syn_0764,Buy bundles za mbao kwa chali yangu,BUY_BUNDLES,20,chali yangu,,*334# -> 3 -> 2 -> 20,True
syn_0390,Lipa bill ya Safaricom Ksh 1500,PAY_BILL,1500,,Safaricom,*334# -> 2 -> 1 -> Safaricom -> [RECIPIENT] -> 1500,True
syn_0581,Nitumie mama chapaa soo tano,SEND_MONEY,500,mama,,*334# -> 1 -> mama -> 500,True
syn_0880,Lipa net account 0712345678 amount 200,PAY_BILL,200,0712345678,net,*334# -> 2 -> 1 -> net -> 0712345678 -> 200,True
syn_0530,Lipa token account chali yangu amount 5000,PAY_BILL,5000,chali yangu,token,*334# -> 2 -> 1 -> token -> chali yangu -> 5000,True
syn_0598,Check salio M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0344,Nitumie data ya elfu moja,BUY_BUNDLES,1000,,,*334# -> 3 -> 2 -> 1000,True
syn_0884,Nipatie bundles ya fifty bob,BUY_BUNDLES,50,,,*334# -> 3 -> 2 -> 50,True
syn_0302,Bao credit ya fifty bob kwa sis,BUY_AIRTIME,50,sis,,*334# -> 3 -> 1 -> sis -> 50,True
syn_0323,How much money is in my M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0479,Nishikie bundles za elfu moja,BUY_BUNDLES,1000,,,*334# -> 3 -> 2 -> 1000,True
syn_0785,Paybill KPLC amount 2000,PAY_BILL,2000,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 2000,True
syn_0074,Nishikie data ya soo mbili,BUY_BUNDLES,200,,,*334# -> 3 -> 2 -> 200,True
syn_0902,Niongeze elfu mbili chali yangu,BUY_AIRTIME,2000,chali yangu,,*334# -> 3 -> 1 -> chali yangu -> 2000,True
syn_0139,Nipatie bundles ya bob mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0389,Niongeze net za mbao,BUY_BUNDLES,20,,net,*334# -> 3 -> 2 -> 20,True
syn_0319,Lipa data ya Ksh 500,BUY_BUNDLES,500,,,*334# -> 3 -> 2 -> 500,True
syn_0250,Tuma token soo 100,PAY_BILL,100,,token,*334# -> 2 -> 1 -> token -> [RECIPIENT] -> 100,True
syn_0011,Can you Lipa chapaa soo tano to shosh,SEND_MONEY,500,shosh,,*334# -> 1 -> shosh -> 500,True
syn_0445,Paybill token amount 50,PAY_BILL,50,,token,*334# -> 2 -> 1 -> token -> [RECIPIENT] -> 50,True
syn_0568,Balance ni gani kwa Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0499,Nipatie bundles ya soo mbili,BUY_BUNDLES,200,,,*334# -> 3 -> 2 -> 200,True
syn_0850,Tuma data soo 5000,PAY_BILL,5000,,data,*334# -> 2 -> 1 -> data -> [RECIPIENT] -> 5000,True
syn_0926,Neelekeze Niletee chapaa soo tano kwa 0700112233,SEND_MONEY,500,0700112233,,*334# -> 1 -> 0700112233 -> 500,True
syn_0003,Check salio Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0483,How much money is in my data,CHECK_BALANCE,,,data,*334# -> 6 -> 1,True
syn_0275,Paybill token amount 1000,PAY_BILL,1000,,token,*334# -> 2 -> 1 -> token -> [RECIPIENT] -> 1000,True
syn_0976,Tuma mbao direct kwa 0700112233,SEND_MONEY,20,0700112233,,*334# -> 1 -> 0700112233 -> 20,True
syn_0968,Niambie salio langu la net,CHECK_BALANCE,,,net,*334# -> 6 -> 1,True
syn_0756,Niletee cash Ksh 500 hapa mzee,SEND_MONEY,500,mzee,,*334# -> 1 -> mzee -> 500,True
syn_0961,Can you Nishikie mbao to 0798765432,SEND_MONEY,20,0798765432,,*334# -> 1 -> 0798765432 -> 20,True
syn_0008,Nataka kuangalia balance kwa token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0805,Lipia KPLC elfu 1500,PAY_BILL,1500,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 1500,True
syn_0763,Check salio M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0671,Can you Nitumie soo mbili to chali yangu,SEND_MONEY,200,chali yangu,,*334# -> 1 -> chali yangu -> 200,True
syn_0733,Nionyeshe balance,CHECK_BALANCE,,,,*334# -> 6 -> 1,True
syn_0240,Lipa Zuku soo 1500,PAY_BILL,1500,,Zuku,*334# -> 2 -> 1 -> Zuku -> [RECIPIENT] -> 1500,True
syn_0352,Niongeze punch 0700112233,BUY_AIRTIME,100,0700112233,,*334# -> 3 -> 1 -> 0700112233 -> 100,True
syn_0001,Weka elfu mbili kwa brathe,SEND_MONEY,2000,brathe,,*334# -> 1 -> brathe -> 2000,True
syn_0919,Buy bundles za mbao kwa sis,BUY_BUNDLES,20,sis,,*334# -> 3 -> 2 -> 20,True
syn_0485,Nitumie net soo 100,PAY_BILL,100,,net,*334# -> 2 -> 1 -> net -> [RECIPIENT] -> 100,True
syn_0320,Lipa token account chali yangu amount 2000,PAY_BILL,2000,chali yangu,token,*334# -> 2 -> 1 -> token -> chali yangu -> 2000,True
syn_0573,Check balance ya token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0846,Tuma Ksh 1500 to shosh,SEND_MONEY,1500,shosh,,*334# -> 1 -> shosh -> 1500,True
syn_0444,Nipatie bundles ya mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0761,Tuma Ksh 5000 to 0722000000,SEND_MONEY,5000,0722000000,,*334# -> 1 -> 0722000000 -> 5000,True
syn_0784,Send data ya fifty bob,BUY_BUNDLES,50,,,*334# -> 3 -> 2 -> 50,True
syn_0089,Nahitaji data bundles za fifty bob,BUY_BUNDLES,50,,,*334# -> 3 -> 2 -> 50,True
syn_0524,Nipatie bundles ya bob mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0427,Send soo tano airtime line hii,BUY_AIRTIME,500,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 500,True
syn_0014,Buy bundles za elfu mbili kwa 0712345678,BUY_BUNDLES,2000,0712345678,,*334# -> 3 -> 2 -> 2000,True
syn_0105,Weka net soo 200,PAY_BILL,200,,net,*334# -> 2 -> 1 -> net -> [RECIPIENT] -> 200,True
syn_0563,Check balance ya KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0566,Can you Niletee punch to shosh,SEND_MONEY,100,shosh,,*334# -> 1 -> shosh -> 100,True
syn_0955,Nishikie KPLC soo 50,PAY_BILL,50,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 50,True
syn_0315,Paybill token amount 100,PAY_BILL,100,,token,*334# -> 2 -> 1 -> token -> [RECIPIENT] -> 100,True
syn_0680,Paybill KPLC amount 100,PAY_BILL,100,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 100,True
syn_0354,Nishikie bundles za soo mbili,BUY_BUNDLES,200,,,*334# -> 3 -> 2 -> 200,True
syn_0753,Check salio Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0676,Niaje Nishikie punch kwa 0798765432,SEND_MONEY,100,0798765432,,*334# -> 1 -> 0798765432 -> 100,True
syn_0977,Tuma soo mbili airtime line hii,BUY_AIRTIME,200,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 200,True
syn_0588,Nionyeshe balance,CHECK_BALANCE,,,,*334# -> 6 -> 1,True
syn_0600,Lipa bill ya KPLC Ksh 100,PAY_BILL,100,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 100,True
syn_0299,Nahitaji data bundles za soo mbili,BUY_BUNDLES,200,,,*334# -> 3 -> 2 -> 200,True
syn_0431,Niaje Niletee elfu moja kwa brathe,SEND_MONEY,1000,brathe,,*334# -> 1 -> brathe -> 1000,True
syn_0736,Niaje Send elfu moja kwa brathe,SEND_MONEY,1000,brathe,,*334# -> 1 -> brathe -> 1000,True
syn_0104,Nipatie bundles ya punch,BUY_BUNDLES,100,,,*334# -> 3 -> 2 -> 100,True
syn_0032,Niongeze mbao 0722000000,BUY_AIRTIME,20,0722000000,,*334# -> 3 -> 1 -> 0722000000 -> 20,True
syn_0643,Balance ni gani kwa token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0309,Nipatie bundles ya punch,BUY_BUNDLES,100,,,*334# -> 3 -> 2 -> 100,True
syn_0379,Buy bundles za elfu moja kwa 0722000000,BUY_BUNDLES,1000,0722000000,,*334# -> 3 -> 2 -> 1000,True
syn_0048,Check salio net,CHECK_BALANCE,,,net,*334# -> 6 -> 1,True
syn_0152,Bao credit ya elfu moja kwa 0722000000,BUY_AIRTIME,1000,0722000000,,*334# -> 3 -> 1 -> 0722000000 -> 1000,True
syn_0222,Tuma kredit elfu moja,BUY_AIRTIME,1000,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 1000,True
syn_0118,Nionyeshe balance,CHECK_BALANCE,,,,*334# -> 6 -> 1,True
syn_0363,How much money is in my M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0545,Lipa bill ya M-Pesa Ksh 5000,PAY_BILL,5000,,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> [RECIPIENT] -> 5000,True
syn_0943,Nionyeshe balance,CHECK_BALANCE,,,,*334# -> 6 -> 1,True
syn_0306,Niletee chapaa soo tano kwa mama,SEND_MONEY,500,mama,,*334# -> 1 -> mama -> 500,True
syn_0818,How much money is in my Safaricom,CHECK_BALANCE,,,Safaricom,*334# -> 6 -> 1,True
syn_0594,Nipatie bundles ya elfu mbili,BUY_BUNDLES,2000,,,*334# -> 3 -> 2 -> 2000,True
syn_0519,Nishikie data ya elfu mbili,BUY_BUNDLES,2000,,,*334# -> 3 -> 2 -> 2000,True
syn_0017,Tuma kredit elfu mbili,BUY_AIRTIME,2000,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 2000,True
syn_0501,Can you Niletee soo tano to shosh,SEND_MONEY,500,shosh,,*334# -> 1 -> shosh -> 500,True
syn_0619,Send data ya mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0939,Buy bundles za mbao kwa 0722000000,BUY_BUNDLES,20,0722000000,,*334# -> 3 -> 2 -> 20,True
syn_0975,Lipia KPLC elfu 50,PAY_BILL,50,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 50,True
syn_0279,Nahitaji data bundles za elfu moja,BUY_BUNDLES,1000,,,*334# -> 3 -> 2 -> 1000,True
syn_0129,Nipatie bundles ya mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0561,Neelekeze Weka Ksh 500 kwa shosh,SEND_MONEY,500,shosh,,*334# -> 1 -> shosh -> 500,True
syn_0647,Can I get mbao airtime,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0690,Lipia KPLC elfu 500,PAY_BILL,500,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 500,True
syn_0537,Send kredit fifty bob,BUY_AIRTIME,50,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 50,True
syn_0062,Tuma airtime ya Ksh 500,BUY_AIRTIME,500,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 500,True
syn_0255,Lipa bill ya M-Pesa Ksh 5000,PAY_BILL,5000,,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> [RECIPIENT] -> 5000,True
syn_0096,Lipa chali yangu elfu moja,SEND_MONEY,1000,chali yangu,,*334# -> 1 -> chali yangu -> 1000,True
syn_0349,Nipatie bundles ya soo tano,BUY_BUNDLES,500,,,*334# -> 3 -> 2 -> 500,True
syn_0702,Nishikie kredit ya bob mbao kwa number 0722000000,BUY_AIRTIME,20,0722000000,,*334# -> 3 -> 1 -> 0722000000 -> 20,True
syn_0176,Neelekeze Weka bob mbao kwa chali yangu,SEND_MONEY,20,chali yangu,,*334# -> 1 -> chali yangu -> 20,True
syn_0779,Nitumie data ya punch,BUY_BUNDLES,100,,,*334# -> 3 -> 2 -> 100,True
syn_0867,Bao credit ya soo tano kwa chali yangu,BUY_AIRTIME,500,chali yangu,,*334# -> 3 -> 1 -> chali yangu -> 500,True
syn_0901,Send cash Ksh 500 hapa chali yangu,SEND_MONEY,500,chali yangu,,*334# -> 1 -> chali yangu -> 500,True
syn_0601,Nitumie 0712345678 soo tano,SEND_MONEY,500,0712345678,,*334# -> 1 -> 0712345678 -> 500,True
syn_0695,Weka Zuku soo 200,PAY_BILL,200,,Zuku,*334# -> 2 -> 1 -> Zuku -> [RECIPIENT] -> 200,True
syn_0382,Lipa airtime ya punch,BUY_AIRTIME,100,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 100,True
syn_0466,Tuma elfu moja direct kwa mama,SEND_MONEY,1000,mama,,*334# -> 1 -> mama -> 1000,True
syn_0774,Nishikie bundles za elfu moja,BUY_BUNDLES,1000,,,*334# -> 3 -> 2 -> 1000,True
syn_0353,Nionyeshe balance,CHECK_BALANCE,,,,*334# -> 6 -> 1,True
syn_0393,Nionyeshe balance,CHECK_BALANCE,,,,*334# -> 6 -> 1,True
syn_0385,Lipa bill ya Safaricom Ksh 50,PAY_BILL,50,,Safaricom,*334# -> 2 -> 1 -> Safaricom -> [RECIPIENT] -> 50,True
syn_0249,Niongeze token za soo tano,BUY_BUNDLES,500,,token,*334# -> 3 -> 2 -> 500,True
syn_0248,Balance ni gani kwa Safaricom,CHECK_BALANCE,,,Safaricom,*334# -> 6 -> 1,True
syn_0085,Lipa bill ya token Ksh 200,PAY_BILL,200,,token,*334# -> 2 -> 1 -> token -> [RECIPIENT] -> 200,True
syn_0556,Tuma mbao kwa brathe,SEND_MONEY,20,brathe,,*334# -> 1 -> brathe -> 20,True
syn_0155,Lipa net account sis amount 1500,PAY_BILL,1500,sis,net,*334# -> 2 -> 1 -> net -> sis -> 1500,True
syn_0855,Lipa bill ya KPLC Ksh 2000,PAY_BILL,2000,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 2000,True
syn_0864,Nipatie bundles ya punch,BUY_BUNDLES,100,,,*334# -> 3 -> 2 -> 100,True
syn_0205,Lipa data account mama amount 1500,PAY_BILL,1500,mama,data,*334# -> 2 -> 1 -> data -> mama -> 1500,True
syn_0304,Buy bundles za soo mbili kwa mzee,BUY_BUNDLES,200,mzee,,*334# -> 3 -> 2 -> 200,True
syn_0629,Niongeze net za soo mbili,BUY_BUNDLES,200,,net,*334# -> 3 -> 2 -> 200,True
syn_0345,Lipa bill ya net Ksh 1500,PAY_BILL,1500,,net,*334# -> 2 -> 1 -> net -> [RECIPIENT] -> 1500,True
syn_0885,Paybill M-Pesa amount 5000,PAY_BILL,5000,,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> [RECIPIENT] -> 5000,True
syn_0055,Lipia KPLC elfu 500,PAY_BILL,500,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 500,True
syn_0508,Niambie salio langu la KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0592,Can I get mbao airtime,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0825,Paybill net amount 500,PAY_BILL,500,,net,*334# -> 2 -> 1 -> net -> [RECIPIENT] -> 500,True
syn_0918,How much money is in my M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0009,Nahitaji data bundles za Ksh 500,BUY_BUNDLES,500,,,*334# -> 3 -> 2 -> 500,True
syn_0931,Nitumie bob mbao kwa chali yangu,SEND_MONEY,20,chali yangu,,*334# -> 1 -> chali yangu -> 20,True
syn_0060,Lipia Safaricom elfu 1500,PAY_BILL,1500,,Safaricom,*334# -> 2 -> 1 -> Safaricom -> [RECIPIENT] -> 1500,True
syn_0037,Tuma airtime ya elfu moja,BUY_AIRTIME,1000,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 1000,True
syn_0088,Check salio Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0521,Send cash mbao hapa mama,SEND_MONEY,20,mama,,*334# -> 1 -> mama -> 20,True
syn_0807,Niongeze elfu mbili mama,BUY_AIRTIME,2000,mama,,*334# -> 3 -> 1 -> mama -> 2000,True
syn_0131,Nitumie cash chapaa soo tano hapa 0712345678,SEND_MONEY,500,0712345678,,*334# -> 1 -> 0712345678 -> 500,True
syn_0254,Nahitaji data bundles za soo mbili,BUY_BUNDLES,200,,,*334# -> 3 -> 2 -> 200,True
syn_0365,Lipa bill ya Safaricom Ksh 1500,PAY_BILL,1500,,Safaricom,*334# -> 2 -> 1 -> Safaricom -> [RECIPIENT] -> 1500,True
syn_0754,Send data ya elfu mbili,BUY_BUNDLES,2000,,,*334# -> 3 -> 2 -> 2000,True
syn_0713,How much money is in my token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0516,Tuma fifty bob kwa 0722000000,SEND_MONEY,50,0722000000,,*334# -> 1 -> 0722000000 -> 50,True
syn_0038,Check salio M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0954,Nipatie bundles ya punch,BUY_BUNDLES,100,,,*334# -> 3 -> 2 -> 100,True
syn_0191,Neelekeze Weka bob mbao kwa mama,SEND_MONEY,20,mama,,*334# -> 1 -> mama -> 20,True
syn_0491,Niletee cash elfu mbili hapa mama,SEND_MONEY,2000,mama,,*334# -> 1 -> mama -> 2000,True
syn_0493,How much money is in my net,CHECK_BALANCE,,,net,*334# -> 6 -> 1,True
syn_0577,Niongeze chapaa soo tano 0700112233,BUY_AIRTIME,500,0700112233,,*334# -> 3 -> 1 -> 0700112233 -> 500,True
syn_0290,Lipia KPLC elfu 100,PAY_BILL,100,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 100,True
syn_0258,Balance ni gani kwa token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0331,Tuma Ksh 1500 to shosh,SEND_MONEY,1500,shosh,,*334# -> 1 -> shosh -> 1500,True
syn_0401,Tuma soo tano direct kwa shosh,SEND_MONEY,500,shosh,,*334# -> 1 -> shosh -> 500,True
syn_0460,Lipa Safaricom account 0712345678 amount 2000,PAY_BILL,2000,0712345678,Safaricom,*334# -> 2 -> 1 -> Safaricom -> 0712345678 -> 2000,True
syn_0120,Lipia token elfu 100,PAY_BILL,100,,token,*334# -> 2 -> 1 -> token -> [RECIPIENT] -> 100,True
syn_0398,Check salio token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0613,Check balance ya M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0565,Lipa KPLC account shosh amount 1000,PAY_BILL,1000,shosh,KPLC,*334# -> 2 -> 1 -> KPLC -> shosh -> 1000,True
syn_0876,Neelekeze Lipa fifty bob kwa mzee,SEND_MONEY,50,mzee,,*334# -> 1 -> mzee -> 50,True
syn_0458,Nataka kuangalia balance kwa KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0476,Nishikie bob mbao kwa 0712345678,SEND_MONEY,20,0712345678,,*334# -> 1 -> 0712345678 -> 20,True
syn_0149,Nahitaji data bundles za soo tano,BUY_BUNDLES,500,,,*334# -> 3 -> 2 -> 500,True
syn_0655,Send KPLC soo 1000,PAY_BILL,1000,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 1000,True
syn_0881,Tuma elfu moja direct kwa sis,SEND_MONEY,1000,sis,,*334# -> 1 -> sis -> 1000,True
syn_0951,Lipa cash elfu moja hapa 0722000000,SEND_MONEY,1000,0722000000,,*334# -> 1 -> 0722000000 -> 1000,True
syn_0496,Weka 0700112233 punch,SEND_MONEY,100,0700112233,,*334# -> 1 -> 0700112233 -> 100,True
syn_0824,Niongeze M-Pesa za elfu moja,BUY_BUNDLES,1000,,M-Pesa,*334# -> 3 -> 2 -> 1000,True
syn_0267,Send airtime ya elfu moja,BUY_AIRTIME,1000,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 1000,True
syn_0179,Niongeze token za elfu mbili,BUY_BUNDLES,2000,,token,*334# -> 3 -> 2 -> 2000,True
syn_0400,Lipa net soo 1500,PAY_BILL,1500,,net,*334# -> 2 -> 1 -> net -> [RECIPIENT] -> 1500,True
syn_0995,Lipa Safaricom account mama amount 200,PAY_BILL,200,mama,Safaricom,*334# -> 2 -> 1 -> Safaricom -> mama -> 200,True
syn_0153,Balance ni gani kwa net,CHECK_BALANCE,,,net,*334# -> 6 -> 1,True
syn_0214,Niongeze Safaricom za elfu moja,BUY_BUNDLES,1000,,Safaricom,*334# -> 3 -> 2 -> 1000,True
syn_0921,Niletee cash soo mbili hapa 0712345678,SEND_MONEY,200,0712345678,,*334# -> 1 -> 0712345678 -> 200,True
syn_0482,Tuma kredit soo tano,BUY_AIRTIME,500,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 500,True
syn_0156,Niletee soo mbili kwa sis,SEND_MONEY,200,sis,,*334# -> 1 -> sis -> 200,True
syn_0973,Nataka kuangalia balance kwa Safaricom,CHECK_BALANCE,,,Safaricom,*334# -> 6 -> 1,True
syn_0321,Niaje Nishikie fifty bob kwa sis,SEND_MONEY,50,sis,,*334# -> 1 -> sis -> 50,True
syn_0929,Nishikie bundles za bob mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0803,How much money is in my net,CHECK_BALANCE,,,net,*334# -> 6 -> 1,True
syn_0488,How much money is in my KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0866,Niaje Send soo mbili kwa 0712345678,SEND_MONEY,200,0712345678,,*334# -> 1 -> 0712345678 -> 200,True
